influencer_id,username,display_name,follower_count,following_count,total_videos,avg_views_per_video,country,niche_category,is_verified,account_type,joined_date,bio_length_chars,has_external_link
INF00001,ve_ndulkaaa,Ve Ndulkaaa,42905,1193,429,26546,DE,Comedy,0,Business,2018-05-11,7,0
INF00002,mandislives,Mandislives,171982,4514,1728,38142,AU,Animals & Pets,0,Personal,2019-10-16,108,1
INF00003,daden.tv.1,Daden Tv 1,19210,3162,406,6575,ID,Music,0,Personal,2023-02-25,137,0
INF00004,5.minite.ago,5 Minite Ago,91314,619,197,55272,SG,Comedy,0,Creator,2019-02-18,97,1
INF00005,ddaniela.mariaa,Ddaniela Mariaa,30714,1766,2755,8055,FR,Lifestyle,0,Personal,2019-12-02,136,0
INF00006,dani_villarr,Dani Villarr,41231784,4612,909,25795197,BR,Animals & Pets,0,Personal,2021-07-16,102,1
INF00007,franncchii,Franncchii,160616,3291,2643,68936,US,Science & Education,0,Creator,2022-10-21,149,1
INF00008,mano123.77,Mano123 77,164988,435,459,26888,US,Lifestyle,0,Business,2018-09-18,98,1
INF00009,smante88,Smante88,38744232,144,2796,25456044,IN,Food & Cooking,1,Creator,2019-04-02,75,1
INF00010,bryson_keith,Bryson Keith,40351480,1513,2089,33249063,MX,Music,1,Creator,2019-09-19,95,0
INF00011,dolisekk,Dolisekk,458225,4052,89,58343,ID,Dance,0,Creator,2020-09-07,14,0
INF00012,harley_haisleyyy,Harley Haisleyyy,1218514,4413,525,172664,PH,Food & Cooking,0,Business,2020-05-17,138,0
INF00013,cassiaxoxo_off,Cassiaxoxo Off,213430,4289,1859,28871,US,Beauty & Fashion,0,Personal,2020-07-31,150,0
INF00014,alienslastnight,Alienslastnight,1471,66,1363,134,US,Lifestyle,0,Business,2020-05-27,138,0
INF00015,veritasium,Veritasium,4465052,3384,789,500369,IN,Beauty & Fashion,1,Business,2018-08-10,25,0
INF00016,abc7la,Abc7La,27386,1608,2206,11510,ID,Music,0,Business,2020-10-20,19,1
INF00017,amaliediaz,Amaliediaz,924366,814,978,161478,PH,Science & Education,0,Business,2018-08-29,42,1
INF00018,rh26729,Rh26729,1141,334,2721,747,US,Music,0,Creator,2018-08-28,148,0
INF00019,conexaotvweb.pa,Conexaotvweb Pa,79972,4400,654,6356,PH,Dance,0,Creator,2018-10-08,17,0
