hashtag_id,hashtag,category,subcategory,is_brand_safe,content_rating,search_volume_tier,language_primary,created_at,last_updated
HT000001,06,Entertainment,General Entertainment,1,G,low,en,2024-01-01,2026-05-01
HT000002,100k,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000003,100kviews,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000004,1980srock,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000005,1m,Entertainment,General Entertainment,1,G,low,en,2024-01-01,2026-05-01
HT000006,1million,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000007,1millionaudition,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000008,1millionviews,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000009,1persondance,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000010,2007,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000011,2026,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000012,24oras,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000013,2man,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000014,3d,Entertainment,General Entertainment,1,G,low,en,2024-01-01,2026-05-01
HT000015,3danimation,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000016,3dmedical,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000017,3dmedicalanimation,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000018,3dprint,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000019,3dprinting,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000020,4u,Entertainment,General Entertainment,1,G,low,en,2024-01-01,2026-05-01
HT000021,4yourpage,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000022,500k,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000023,500kviews,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000024,515,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000025,64bitmedia,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000026,64bitnews,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000027,67,Entertainment,General Entertainment,1,G,low,en,2024-01-01,2026-05-01
HT000028,6ix9ine,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000029,70s,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000030,80s,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000031,80shits,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000032,80smusic,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000033,8d,Entertainment,General Entertainment,1,G,low,en,2024-01-01,2026-05-01
HT000034,90smsusic,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000035,90sthrowback,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000036,9today,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000037,aaronparnas,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000038,aaronparnas1,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000039,abc13,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000040,abc7la,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000041,abcxyz,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000042,accountgrow,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000043,accountunfrreez,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000044,actionfigures,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000045,actual,News & Politics,Current Affairs,0,PG-13,high,en,2024-01-01,2026-05-01
HT000046,adhd,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000047,adinross,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000048,adinrossclips,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000049,adinrossfunny,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000050,aesthetic,Beauty & Fashion,Lifestyle & Style,1,G,viral,en,2024-01-01,2026-05-01
HT000051,aestheticmusic,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000052,aestheticvideos,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000053,affordablemakeup,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000054,africa,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000055,africandwarffrogs,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000056,aftereffects,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000057,afterschool,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000058,ai,Technology,Innovation & Tech,1,G,low,en,2024-01-01,2026-05-01
HT000059,aiart,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000060,aidboats,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000061,aigottalent,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000062,aiims,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000063,ainews,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000064,ainsleyearhardt,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000065,aitrend,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000066,ali,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000067,alien,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
HT000068,aliens,Entertainment,General Entertainment,1,G,high,en,2024-01-01,2026-05-01
HT000069,alishbahanjum,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000070,alisiddiq,Entertainment,General Entertainment,1,G,viral,en,2024-01-01,2026-05-01
HT000071,allah,Entertainment,General Entertainment,1,G,medium,en,2024-01-01,2026-05-01
